Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
;GPD;;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGA;SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
DGPG;GGP;ANTICUERPO ANTI PEPTIDO DEAMINADO DE GLIADINA IGG;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGG;SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
;GGP;;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGG;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
PSA;PSA;ANTIGENO PROSTATICO ESPECIFICO (PSA);ANTIG.PROSTATICO ESPECIFICO (PSA);SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml.;Hasta 4,00 ng/ml;;;;
;75;;ANTIG.PROSTATICO ESPECIFICO (PSA);SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml.;Hasta 4,00 ng/ml;;;;
PSA-L;640;ANTIGENO PROSTATICO ESPECIFICO (PSA) - Libre;PSA Libre;SUERO;0;Si;Si;Si;;ng/ml;;;;;
;PSAL;;PSA Libre;SUERO;0;No;Si;Si;;ng/ml;;;;;
MULL;HMU;ANTIMULLERIANA HORMONA (HAM);HORMONA ANTIMULLERIANA;SUERO;0;Si;Si;Si;ELISA;ng/ml;Mujeres: 0.20 - 5.00 ng/ml  Menopausia: < 0.14 ng/ml  Varones: 2.00 - 5.00;;;;
;HMU;;HORMONA ANTIMULLERIANA;SUERO;0;No;Si;Si;ELISA;ng/ml;Mujeres: 0.20 - 5.00 ng/ml  Menopausia: < 0.14 ng/ml  Varones: 2.00 - 5.00;;;;
APO;203;"APOLIPOPROTEINA ""A""";"APOLIPOPROTEINA ""A""";SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;Hombres: 104 a 202 mg/dl  Mujeres: 108 a 225;;;;
;APOA1;;"APOLIPOPROTEINA ""A""";SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;Hombres: 104 a 202 mg/dl  Mujeres: 108 a 225;;;;
AP0B;APOB;"APOLIPOPROTEINA ""B""";"APOLIPOPROTEINA ""B""";SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;V.R  Hombres: 66 a 144 mg/dl  Mujeres: 60 a 141 mg/dl  --------------------------------  Metas según la estratificación del riesgo de ECV:  Riesgo Moderado < 100 mg/dL  Riesgo Alto < 80mg/dL  Riesgo Muy Alto <65;;;;
;204;;"APOLIPOPROTEINA ""B""";SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;V.R  Hombres: 66 a 144 mg/dl  Mujeres: 60 a 141 mg/dl  --------------------------------  Metas según la estratificación del riesgo de ECV:  Riesgo Moderado < 100 mg/dL  Riesgo Alto < 80mg/dL  Riesgo Muy Alto <65;;;;
B2M;650;BETA 2 MICROGLOBULINA;BETA 2 MICROGLOBULINA;SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/l;de 0,8 a 2,2;;;;
